id,action_id,step_number,content
s0000000-0000-4000-a000-000000000001,n0000000-0000-4000-a000-000000000001,1,"Find a quiet space and spend 10 minutes writing freely about your ideal romantic relationship — what it feels like, what you give, and what you receive. Do not edit yourself."
s0000000-0000-4000-a000-000000000002,n0000000-0000-4000-a000-000000000001,2,Before the end of today share one genuine feeling with someone you trust — not a fact or an opinion but a real emotion. Notice how it feels to be seen.
s0000000-0000-4000-a000-000000000003,n0000000-0000-4000-a000-000000000002,1,Write down the name of one person and one conversation you have been avoiding. Decide on a specific time this week when you will have it.
s0000000-0000-4000-a000-000000000004,n0000000-0000-4000-a000-000000000002,2,"In your next meaningful conversation practise the reflect-then-respond technique: before sharing your view, summarise what the other person said and ask if you understood correctly."
s0000000-0000-4000-a000-000000000005,n0000000-0000-4000-a000-000000000003,1,"Plan one specific quality-time activity with your partner — not just watching TV together but something that requires shared presence and conversation. Schedule it this week."
s0000000-0000-4000-a000-000000000006,n0000000-0000-4000-a000-000000000003,2,"Tell the person something specific you genuinely appreciate about them — not a general compliment, but something precise and personal that shows you truly see them."
s0000000-0000-4000-a000-000000000007,n0000000-0000-4000-a000-000000000004,1,"Separately, each of you writes down three key differences you notice between yourself and the other person. Be honest but kind in your framing."
s0000000-0000-4000-a000-000000000008,n0000000-0000-4000-a000-000000000004,2,"Share your lists with each other and discuss each difference with genuine curiosity, asking: How does this difference actually benefit our relationship?"
s0000000-0000-4000-a000-000000000009,n0000000-0000-4000-a000-000000000005,1,"Independently write 10 words that describe your ideal relationship, then share your lists with each other and circle the words you both chose."
s0000000-0000-4000-a000-000000000010,n0000000-0000-4000-a000-000000000005,2,"From your combined lists, agree on three shared relationship values and write them somewhere both of you will see regularly — on the fridge, in a shared note, or in your journal."
s0000000-0000-4000-a000-000000000011,n0000000-0000-4000-a000-000000000006,1,"Each person brainstorms three simple weekly rituals you could do together — morning coffee, an evening walk, a Sunday meal. Share your ideas without immediately evaluating them."
s0000000-0000-4000-a000-000000000012,n0000000-0000-4000-a000-000000000006,2,"Choose one ritual together and add it to both your calendars for this week. After doing it, spend five minutes talking about how it felt."
s0000000-0000-4000-a000-000000000013,n0000000-0000-4000-a000-000000000007,1,"Export or review the last 30 days of your bank or card transactions. Group them into categories: essentials, lifestyle, subscriptions, impulse, and investment."
s0000000-0000-4000-a000-000000000014,n0000000-0000-4000-a000-000000000007,2,"Highlight three spending patterns you want to change. For each one, write a single sentence explaining the specific financial goal it is working against."
s0000000-0000-4000-a000-000000000015,n0000000-0000-4000-a000-000000000008,1,"Write three financial goals — one achievable in 1 month, one in 6 months, and one in 1 year. Make each goal specific with a number and a date."
s0000000-0000-4000-a000-000000000016,n0000000-0000-4000-a000-000000000008,2,Break your 1-month goal into four weekly milestones. Write them in your calendar and set a reminder for each Monday morning to review your progress.
s0000000-0000-4000-a000-000000000017,n0000000-0000-4000-a000-000000000009,1,"Open a dedicated savings account if you do not have one, or review your existing one. Set up an automatic transfer for a fixed amount on each payday, however small."
s0000000-0000-4000-a000-000000000018,n0000000-0000-4000-a000-000000000009,2,"Spend 30 minutes researching one passive income stream that aligns with a skill, asset, or knowledge you already have. Write down three specific first steps to explore it further."
s0000000-0000-4000-a000-000000000019,n0000000-0000-4000-a000-000000000010,1,"Write a vivid one-paragraph description of your ideal career three years from now. Include your role, industry, the impact you are having, and how you feel about your work."
s0000000-0000-4000-a000-000000000020,n0000000-0000-4000-a000-000000000010,2,"Identify the three most significant gaps between where you are now and that vision. For each gap, write one action that would move you closer to closing it."
s0000000-0000-4000-a000-000000000021,n0000000-0000-4000-a000-000000000011,1,"Send a brief message to three trusted colleagues asking: What do you consider my top three professional strengths? Collect their responses without arguing or dismissing any of them."
s0000000-0000-4000-a000-000000000022,n0000000-0000-4000-a000-000000000011,2,"For each of the strengths identified, find one specific way to apply it more deliberately in your current role this week. Block time in your calendar for it."
s0000000-0000-4000-a000-000000000023,n0000000-0000-4000-a000-000000000012,1,"Identify the one high-impact project or opportunity at work that you have been deferring. Write down exactly why you have been avoiding it and what completing it would actually change."
s0000000-0000-4000-a000-000000000024,n0000000-0000-4000-a000-000000000012,2,"Break the project into three concrete, specific tasks. Schedule the first task on your calendar today and set a reminder. Commit to doing it before moving on to anything else that morning."
s0000000-0000-4000-a000-000000000025,n0000000-0000-4000-a000-000000000013,1,"Set an alarm every two hours for three days. When it goes off, rate your energy from 1 to 10 and write one sentence about what you were doing at that moment."
s0000000-0000-4000-a000-000000000026,n0000000-0000-4000-a000-000000000013,2,"At the end of three days, review your log and identify your natural peak energy window. Also note the one recurring habit or activity most consistently linked to your lowest scores."
s0000000-0000-4000-a000-000000000027,n0000000-0000-4000-a000-000000000014,1,"Design a morning routine of no more than 30 minutes that includes at least 5 minutes of physical movement. Write it out as a step-by-step sequence you can follow without thinking."
s0000000-0000-4000-a000-000000000028,n0000000-0000-4000-a000-000000000014,2,"Follow your new routine every morning for seven consecutive days. Each evening, write one sentence about how the morning affected the rest of your day."
s0000000-0000-4000-a000-000000000029,n0000000-0000-4000-a000-000000000015,1,"Choose a 5-minute breathing or body-scan practice and set it as a non-negotiable morning appointment for the next seven days. Use an app or video if it helps you stay consistent."
s0000000-0000-4000-a000-000000000030,n0000000-0000-4000-a000-000000000015,2,"At the end of each day this week, write about one difficult moment and what it revealed about your capacity to handle challenges. Focus on what you did right, not what went wrong."
s0000000-0000-4000-a000-000000000031,n0000000-0000-4000-a000-000000000016,1,Find 30 uninterrupted minutes and write your answer to this question in full: What would I do with my life if I knew with certainty that I could not fail?
