id,category_id,creator_id,name,slug,description,short_description,icon_url,credit_cost,is_featured,is_active,min_palms_required,display_order,created_at,updated_at
t0000000-0000-4000-a000-000000000001,c0000000-0000-4000-a000-000000000001,r0000000-0000-4000-a000-000000000001,Love Path Reading,love-path-reading,"Discover the hidden secrets of your love life written in the lines and mounts of your palm. Our AI analyses your heart line, fate line, and Venus mount to reveal your romantic tendencies, emotional depth, and relationship patterns that shape your connections.",Unveil your romantic destiny through your palm's love secrets,https://cdn.palmyst.app/tools/love-path-reading.svg,10,true,true,1,1,2026-01-20T08:00:00Z,2026-01-20T08:00:00Z
t0000000-0000-4000-a000-000000000002,c0000000-0000-4000-a000-000000000001,r0000000-0000-4000-a000-000000000002,Compatibility Reading,compatibility-reading,"Compare two palms to reveal the depth of compatibility, emotional synchrony, and long-term potential between two people. Our AI cross-analyses both hands to identify complementary traits, friction points, and areas where your connection can deepen.",Discover the unique bond hidden in two palms,https://cdn.palmyst.app/tools/compatibility-reading.svg,15,true,true,2,2,2026-01-20T08:00:00Z,2026-01-20T08:00:00Z
t0000000-0000-4000-a000-000000000003,c0000000-0000-4000-a000-000000000002,r0000000-0000-4000-a000-000000000003,Wealth Forecast,wealth-forecast,"Your palm holds the map to financial prosperity. The AI analyses your fate line, head line, and Jupiter mount to uncover your relationship with money, natural wealth-building potential, financial strengths, and any subconscious blocks to abundance.",Reveal your financial destiny and wealth-building potential,https://cdn.palmyst.app/tools/wealth-forecast.svg,10,false,true,1,3,2026-01-20T08:00:00Z,2026-01-20T08:00:00Z
t0000000-0000-4000-a000-000000000004,c0000000-0000-4000-a000-000000000003,r0000000-0000-4000-a000-000000000004,Career Destiny,career-destiny,"Your career path is written in the lines of your dominant hand. The AI reads your head line, fate line, and Mercury mount to identify your professional strengths, ideal industries, leadership style, and the career moves most aligned with your natural abilities.",Uncover your professional strengths and ideal career direction,https://cdn.palmyst.app/tools/career-destiny.svg,10,false,true,1,4,2026-01-20T08:00:00Z,2026-01-20T08:00:00Z
t0000000-0000-4000-a000-000000000005,c0000000-0000-4000-a000-000000000004,r0000000-0000-4000-a000-000000000001,Vitality Check,vitality-check,"Your life line and health line reveal more than just lifespan — they map your energy reserves, physical resilience, and recovery capacity. This reading provides a personalised vitality assessment and practical guidance for optimising your physical well-being.",Assess your energy levels and physical resilience,https://cdn.palmyst.app/tools/vitality-check.svg,8,false,true,1,5,2026-01-20T08:00:00Z,2026-01-20T08:00:00Z
t0000000-0000-4000-a000-000000000006,c0000000-0000-4000-a000-000000000005,r0000000-0000-4000-a000-000000000002,Life Path Analysis,life-path-analysis,"Your life line, head line, and the four major mounts together tell the story of your personal evolution. This comprehensive reading reveals your core purpose, natural growth patterns, untapped potential, and the life chapters that lie ahead.",Discover your core purpose and the path to your fullest potential,https://cdn.palmyst.app/tools/life-path-analysis.svg,12,true,true,1,6,2026-01-20T08:00:00Z,2026-01-20T08:00:00Z
t0000000-0000-4000-a000-000000000007,c0000000-0000-4000-a000-000000000006,r0000000-0000-4000-a000-000000000003,Destiny Reading,destiny-reading,"A holistic reading that maps your personal life tapestry — including your family patterns, social gifts, creative expression, and the legacy you are here to build. This is the most comprehensive single-palm reading available, covering all six life categories in depth.",A complete map of your personal life destiny and legacy,https://cdn.palmyst.app/tools/destiny-reading.svg,12,false,true,1,7,2026-01-20T08:00:00Z,2026-01-20T08:00:00Z
t0000000-0000-4000-a000-000000000008,c0000000-0000-4000-a000-000000000002,r0000000-0000-4000-a000-000000000004,Business Fortune,business-fortune,"Entrepreneurs and business owners carry the fingerprints of success in their palms. This reading analyses the Mercury mount, Apollo line, and head line to reveal your entrepreneurial strengths, business instincts, risk tolerance, and the ventures most aligned with your natural talents.",Uncover your entrepreneurial gifts and business fortune,https://cdn.palmyst.app/tools/business-fortune.svg,10,false,true,1,8,2026-01-20T08:00:00Z,2026-01-20T08:00:00Z
t0000000-0000-4000-a000-000000000009,c0000000-0000-4000-a000-000000000003,r0000000-0000-4000-a000-000000000001,Leadership Potential,leadership-potential,"True leadership is a combination of innate traits and developed skills. By comparing two palms — yours and a colleague or partner — this reading reveals leadership dynamics, power balance, complementary strengths, and how to bring out the best in each other.",Reveal the leadership dynamics between two individuals,https://cdn.palmyst.app/tools/leadership-potential.svg,15,false,true,2,9,2026-01-20T08:00:00Z,2026-01-20T08:00:00Z
t0000000-0000-4000-a000-000000000010,c0000000-0000-4000-a000-000000000004,r0000000-0000-4000-a000-000000000002,Longevity Reading,longevity-reading,"Longevity is not just about the length of your life line — it is about the quality of your vitality across every decade. This reading maps your health patterns, regenerative capacity, and the lifestyle factors encoded in your palm to guide you toward a longer, more vital life.",Map your vitality patterns for a longer healthier life,https://cdn.palmyst.app/tools/longevity-reading.svg,8,false,true,1,10,2026-01-20T08:00:00Z,2026-01-20T08:00:00Z
