id,tool_id,title,description,display_order
f0000000-0000-4000-a000-000000000001,t0000000-0000-4000-a000-000000000001,Deep Emotional Analysis,AI reads your heart line to reveal your emotional capacity and attachment style,1
f0000000-0000-4000-a000-000000000002,t0000000-0000-4000-a000-000000000001,Relationship Pattern Mapping,Identifies recurring patterns from your Venus mount that shape how you connect,2
f0000000-0000-4000-a000-000000000003,t0000000-0000-4000-a000-000000000001,Personalised Love Guidance,Specific actionable advice to attract deeper love and fulfilling relationships,3
f0000000-0000-4000-a000-000000000004,t0000000-0000-4000-a000-000000000002,Cross-Palm Comparison,Simultaneously analyses both palms to find complementary strengths and friction points,1
f0000000-0000-4000-a000-000000000005,t0000000-0000-4000-a000-000000000002,Compatibility Score,Detailed compatibility breakdown across emotional and intellectual dimensions,2
f0000000-0000-4000-a000-000000000006,t0000000-0000-4000-a000-000000000002,Relationship Growth Plan,Tailored action plan to strengthen your bond and navigate differences constructively,3
f0000000-0000-4000-a000-000000000007,t0000000-0000-4000-a000-000000000003,Wealth Potential Score,Quantified assessment of your financial aptitude across six key money domains,1
f0000000-0000-4000-a000-000000000008,t0000000-0000-4000-a000-000000000003,Money Mindset Insights,Reveals subconscious money beliefs encoded in your head line and Jupiter mount,2
f0000000-0000-4000-a000-000000000009,t0000000-0000-4000-a000-000000000003,Financial Action Strategy,Concrete steps to leverage your natural financial strengths and build lasting prosperity,3
f0000000-0000-4000-a000-000000000010,t0000000-0000-4000-a000-000000000004,Strengths Identification,Pinpoints your top professional strengths and the industries where you are most likely to thrive,1
f0000000-0000-4000-a000-000000000011,t0000000-0000-4000-a000-000000000004,Leadership Style Profile,Reveals your natural leadership archetype and how to leverage it for professional impact,2
f0000000-0000-4000-a000-000000000012,t0000000-0000-4000-a000-000000000004,Career Roadmap,Personalised 30-day career elevation plan based on your palm's professional indicators,3
f0000000-0000-4000-a000-000000000013,t0000000-0000-4000-a000-000000000005,Energy Level Assessment,Detailed analysis of your physical vitality and stamina reserves,1
f0000000-0000-4000-a000-000000000014,t0000000-0000-4000-a000-000000000005,Health Risk Awareness,Identifies areas of physical vulnerability for proactive preventive action,2
f0000000-0000-4000-a000-000000000015,t0000000-0000-4000-a000-000000000005,Wellness Optimisation Plan,Personalised lifestyle guidance rooted in your palm's unique vitality indicators,3
f0000000-0000-4000-a000-000000000016,t0000000-0000-4000-a000-000000000006,Purpose Discovery,Reveals your core life purpose and the unique gifts you are here to share,1
f0000000-0000-4000-a000-000000000017,t0000000-0000-4000-a000-000000000006,Growth Pattern Analysis,Maps natural cycles of expansion and consolidation in your personal development journey,2
f0000000-0000-4000-a000-000000000018,t0000000-0000-4000-a000-000000000006,Potential Activation Plan,Step-by-step guidance to move toward where your palm says you are destined to be,3
f0000000-0000-4000-a000-000000000019,t0000000-0000-4000-a000-000000000007,Full Life Tapestry,The most comprehensive reading available covering all six life domains in one session,1
f0000000-0000-4000-a000-000000000020,t0000000-0000-4000-a000-000000000007,Legacy Mapping,Reveals the unique mark you are here to leave on the world and those around you,2
f0000000-0000-4000-a000-000000000021,t0000000-0000-4000-a000-000000000007,Holistic Action Plan,Integrates insights from all six categories into one coherent development roadmap,3
f0000000-0000-4000-a000-000000000022,t0000000-0000-4000-a000-000000000008,Entrepreneurial Archetype,Identifies your business personality type and ventures suited to your natural talents,1
f0000000-0000-4000-a000-000000000023,t0000000-0000-4000-a000-000000000008,Risk Tolerance Profile,Quantifies your natural appetite for risk and how to use it as a competitive advantage,2
f0000000-0000-4000-a000-000000000024,t0000000-0000-4000-a000-000000000008,Business Growth Strategy,Actionable steps to align business decisions with your entrepreneurial strengths,3
f0000000-0000-4000-a000-000000000025,t0000000-0000-4000-a000-000000000009,Dual Leadership Profile,Side-by-side leadership comparison with complementary strengths highlighted,1
f0000000-0000-4000-a000-000000000026,t0000000-0000-4000-a000-000000000009,Power Dynamic Insights,Reveals the natural authority balance and how to channel it productively,2
f0000000-0000-4000-a000-000000000027,t0000000-0000-4000-a000-000000000009,Team Excellence Plan,Collaborative action plan for bringing out the best in each other as leaders,3
f0000000-0000-4000-a000-000000000028,t0000000-0000-4000-a000-000000000010,Lifespan Quality Index,Multi-dimensional longevity assessment beyond the traditional life line reading,1
f0000000-0000-4000-a000-000000000029,t0000000-0000-4000-a000-000000000010,Regenerative Capacity,Reveals your body's natural ability to heal and maintain vitality across decades,2
f0000000-0000-4000-a000-000000000030,t0000000-0000-4000-a000-000000000010,Longevity Lifestyle Blueprint,Personalised habits linked to your palm's longevity markers,3
