id,tool_id,title,description,total_actions,created_at,updated_at
a0000000-0000-4000-a000-000000000001,t0000000-0000-4000-a000-000000000001,Love Growth Plan,A 3-step journey to open your heart and nurture deeper connection in your relationships.,3,2026-01-20T08:00:00Z,2026-01-20T08:00:00Z
a0000000-0000-4000-a000-000000000002,t0000000-0000-4000-a000-000000000002,Harmony Blueprint,Three practices to help two people understand their differences and build a lasting bond.,3,2026-01-20T08:00:00Z,2026-01-20T08:00:00Z
a0000000-0000-4000-a000-000000000003,t0000000-0000-4000-a000-000000000003,Wealth Building Plan,A structured 3-step plan to audit financial habits and build the foundation for lasting prosperity.,3,2026-01-20T08:00:00Z,2026-01-20T08:00:00Z
a0000000-0000-4000-a000-000000000004,t0000000-0000-4000-a000-000000000004,Career Elevation Plan,Three focused actions to clarify your career vision and take the strategic steps that move it forward.,3,2026-01-20T08:00:00Z,2026-01-20T08:00:00Z
a0000000-0000-4000-a000-000000000005,t0000000-0000-4000-a000-000000000005,Vitality Boost Plan,Assess your energy patterns and build the resilience for a high-vitality life.,3,2026-01-20T08:00:00Z,2026-01-20T08:00:00Z
a0000000-0000-4000-a000-000000000006,t0000000-0000-4000-a000-000000000006,Life Path Journey,Reconnect with your purpose and take the first concrete steps toward living your fullest potential.,3,2026-01-20T08:00:00Z,2026-01-20T08:00:00Z
a0000000-0000-4000-a000-000000000007,t0000000-0000-4000-a000-000000000007,Destiny Alignment Plan,Reflect on your life story and step fully into the unique path your destiny reveals.,3,2026-01-20T08:00:00Z,2026-01-20T08:00:00Z
a0000000-0000-4000-a000-000000000008,t0000000-0000-4000-a000-000000000008,Business Success Plan,Map your business vision and build the network your business needs to flourish.,3,2026-01-20T08:00:00Z,2026-01-20T08:00:00Z
a0000000-0000-4000-a000-000000000009,t0000000-0000-4000-a000-000000000009,Leadership Development Plan,Discover your authentic leadership style and lead with a purpose that inspires action.,3,2026-01-20T08:00:00Z,2026-01-20T08:00:00Z
a0000000-0000-4000-a000-000000000010,t0000000-0000-4000-a000-000000000010,Longevity Lifestyle Plan,Learn to read your body's signals and build the wellness practices that support a vibrant life.,3,2026-01-20T08:00:00Z,2026-01-20T08:00:00Z
